,Brand,Product Name,Sales Volume,Product Category,Rating,Number of Review,Price
0,APPLE,AirPods Max - Noise Cancelling Over-Ear Headphones (Space Grey) (Authorized Goods),10,Headphone,0.0,0,3699
1,Bose,Sleepbuds II,10,Headphone,0.0,0,1999
2,Samsung,SAMSUNG Original Headphones EG920,400,Headphone,4.5,22,89
3,Turtle Beach,Stealth 700 Gen 2 Wireless Headset - Xbox Series X,20,Headphone,0.0,0,1099
4,AWEI,A780BL Bluetooth Headphones Foldable Noise Cancellation Headset with Mic,200,Headphone,4.1,21,188
5,Sony,WH-1000XM3 Wireless Noise Cancelling Headphones (BlackCN) (Parallel Import),30,Headphone,5.0,1,1499
6,Bose,QuietComfort 35 Wireless Noise Cancelling Headphones II (Black) (Parallel Import),10,Headphone,4.0,1,1310
7,Jabra,EVOLVE 20 Professional Wired Headset with Great Sound,70,Headphone,4.6,3,384
8,SHURE ,AONIC 50 Black｜Wireless Sound Isolating Headphones,0,Headphone,0.0,0,1699
9,MARSHALL,MAJOR IV BLUETOOTH HEADPHONES - BLACK (MHP-95773 ),0,Headphone,0.0,0,1299
10,MARSHALL,HEADPHONES MODE EQ-BLACK(MHP-90940) HK Official Supplier Warranty,100,Headphone,4.8,8,799
11,Jabra,Evolve 75  Bluetooth Headset with World,10,Headphone,0.0,0,2062
12,Bose,QuietControl 30 QC 30 無線耳機 Wireless Bluetooth Headphone ,0,Headphone,0.0,0,2560
13,Bose,QuietComfort Earbuds(Bluetooth 5.1)_Soapstone_QC Earbuds,30,Headphone,3.0,2,2299
14,HyperX,HyperX Cloud II Wireless 7.1 無線電競耳機 Cloud II Wireless,0,Headphone,0.0,0,1249
15,Bose,QuietComfort 35 Wireless Headphones II_Black,0,Headphone,5.0,1,2199
16,Bose,QuietComfort Earbuds(Bluetooth 5.1)_Triple Black,20,Headphone,5.0,1,2299
17,Sony,WH-1000XM4 WIRELESS NOISE CANCELLING HEADPHONES(BLACK) #SONY #索尼,0,Headphone,0.0,0,2248
18,JTSK,Wireless sports headset subwoofer card bluetooth headset stereo call,30,Headphone,4.3,3,283
19,SENNHEISER,Momentum Wireless Active noise cancelling Headphones[3Gen.][508234][Black],0,Headphone,4.0,1,2280
20,SENNHEISER,Momentum 3 Noise-Canceling Wireless Over-Ear Headphones (White) (Parallel Imported),0,Headphone,0.0,0,1840
21,Logitech,Wireless Headset H600,20,Headphone,0.0,0,499
22,Sony,WH-1000XM4 Wireless Noise-Canceling Over-Ear Headphones (Black) (Parallel Imported),0,Headphone,0.0,0,1990
23,MSI,IMMERSE GH20 Gaming Headphone,0,Headphone,0.0,0,350
24,JBL,T225TWS True Wireless Earphone (Black) (Parallel Import),30,Headphone,0.0,0,528
25,Sony,Authorized Goods ER-M7 In-ear Monitor Headphones,0,Headphone,0.0,0,3980
26,B&O,Beoplay E8 Sport True Wireless Bluetooth 5.1 earphone (Black),0,Headphone,0.0,0,1880
27,Logitech,G733 LIGHTSPEED HEADSET - BLACK #981-000867,10,Headphone,0.0,0,1079
28,Logitech,H390 STEREO HEADSET - Parallel Import,10,Headphone,0.0,0,249
29,Sony,MDR-ZX110AP Wired Headphone (Black) (Parallel Import),100,Headphone,3.6,5,118
30,Jabra,Elite 45h On-Ear Wireless Headphones-Titanium Black,30,Headphone,4.6,3,599
31,Bose,QuietComfort 35 Wireless Noise Cancelling Headphones II (Silver) (Parallel Import),0,Headphone,5.0,1,1310
32,Logitech,Zone Wireless Plus,0,Headphone,0.0,0,2199
33,Turtle Beach,Stealth 700 Gen 2 Wireless Headset - PlayStation,10,Headphone,0.0,0,1099
34,Earin,A-3 True Wireless Bluetooth Earbuds,0,Headphone,5.0,1,1398
35,Sony, XB700 TRULY WIRELESS HEADPHONES WITH EXTRA BASS(BLACK) ,0,Headphone,0.0,0,788
36,mojoburst,Comfort | Super Light Wireless Bluetooth Headphone - BLACK [Authorized Goods],30,Headphone,4.5,2,279
37,TOTU,EAUA-021 Type-C Wired Headset,50,Headphone,4.0,1,78
38,Philips,Philips Fidelio L2BO Headphones,30,Headphone,4.7,4,398
39,MOMAX,PILLS Lite2 True Wireless Bluetooth® Earbuds (White) BT2AW,10,Headphone,0.0,0,298
40,Jabra,2020 NEW Evolve2 65 Link380a MS Stereo Black,30,Headphone,0.0,0,1937
41,Nuarl,N10 Pro Active Noise Cancellation ANC True Wireless Bluetooth Earphone,0,Headphone,0.0,0,1488
42,Sony,WH-1000XM4 Wireless Noise-Canceling Over-Ear Headphones (Silver) (Parallel Imported),0,Headphone,0.0,0,1990
43,Logitech,G733 LIGHTSPEED Wireless RGB Gaming Headset (White) (981-000886),0,Headphone,0.0,0,1079
44,SHURE ,AONIC 3 專業隔音耳機 - 黑色｜配備單一高解析度微型發聲單元｜可拆卸式設計,10,Headphone,0.0,0,888
45,Sony,WIRELESS BLUETOOTH NOISE CANCELLING STEREO HEADSET BLACK (WF-1000XM3),50,Headphone,4.8,11,1298
46,Steelseries,Arctis 1 Wireless 電競耳機,0,Headphone,0.0,0,959
47,Philips,Fidelio L2 頭戴式耳機｜獲得Hi-Res認證及Reddot設計大獎,0,Headphone,0.0,0,368
48,JBL,Quantum 200 wired over-ear gaming headset,30,Headphone,0.0,0,449
49,Logitech,Stereo Headset H151 - Black,60,Headphone,5.0,1,109
50,Bose,NOISE CANCELLING 700 Wireless headphones[Black],10,Headphone,0.0,0,2398
51,HP,BM200 黑色｜無線藍牙耳機｜附帶3.5mm音頻線｜40mm 動圈驅動單元｜550mAh 特大電量,40,Headphone,2.6,3,228
52,MINNA,Plug hook household bathroom kitchen storage rack (green) stick hook,20,Headphone,0.0,0,35
53,Sony,WH-1000XM4 Wireless Noise Cancelling Headphones SILVERllel Import),0,Headphone,0.0,0,1940
54,MOMAX,Wireless Bluetooth Headset (White) BT1W,40,Headphone,5.0,2,198
55,Turtle Beach,Stealth 600 Gen 2 Wireless Headset - Xbox Series X,0,Headphone,0.0,0,768
56,Bose,NEW BOSE SLEEPBUDS II,0,Headphone,0.0,0,1999
57,SENNHEISER,HD560S OVER-EAR HEADPHONES (BLACK),0,Headphone,0.0,0,1599
58,REMAX,"(Black) REMAX RB-S33 Headphone Bone Conduction (17.5 *14.5*6cm) Bone Conduction Concept Earphone, Wireless Earphone, Sports Earphone, Portable Earphone, Bluetooth Earphone, Hanging Ear",20,Headphone,3.5,4,176
59,SENNHEISER,AUTHORIZED GOODS IE 80S BT Black,0,Headphone,0.0,0,1850
60,Jabra,EVOLVE 40  Superior Sound for Calls and Music 3.5 millimeter jack lets,10,Headphone,0.0,0,828
61,MONSTER,Boomerang Wear Bluetooth Speaker[Black],10,Headphone,5.0,1,668
62,MONSTER,Monster Clarity 6.0 ANC Active Noise Cancellation True Wireless Bluetooth Headset -Black,0,Headphone,0.0,0,598
63,Beats,Studio3 Wireless Bluetooth Over Ear Headphones Matte Black Parallel Import,0,Headphone,0.0,0,1788
64,1MORE,1MORE ComfoBuds Z 睡眠真無線耳機 香港行貨 一年保養,0,Headphone,5.0,1,632
65,Mcbazel,Waterproof  Wireless Bluetooth 5.0 Earbuds with LED Display for iPhone/Android/PC/Laptop - Black,0,Headphone,4.0,1,80
66,MARSHALL,MAJOR IV BLUETOOTH BLACK MHP-95773,30,Headphone,0.0,0,1299
67,JBL,TUNE 500BT Wireless on-ear headphones (Black) (Parallel),30,Headphone,4.6,3,350
68,JBL,JR310BT Kids Wireless on-ear headphones[Green/Grey],20,Headphone,0.0,0,449
69,JLab Audio,JBUDDIES STUDIO WIRELESS KIDS HEADPHONES (2020),0,Headphone,0.0,0,338
